ID,Categoria,Nombre,Descripcion,Precio,Imagen
122,Vajilla,Plato de barro cocido,Plato hecho de barro cocido a mano con acabado rústico y esmalte natural.,430,prestashop/img/Imagenes/Vajilla/22.jpeg
123,Vajilla,Jarra de cerámica vidriada,Jarra de cerámica hecha a mano vidriada con esmaltes a base de minerales.,610,prestashop/img/Imagenes/Vajilla/23.jpeg
124,Vajilla,Set de cubiertos de bambú,Set de cubiertos de bambú tallado y pulido a mano para un acabado suave.,365,prestashop/img/Imagenes/Vajilla/24.jpeg
125,Vajilla,Bol de madera tallada,Bol hecho a mano de madera de acacia tallado y acabado con aceite natural para preservar la textura.,500,prestashop/img/Imagenes/Vajilla/25.jpeg
126,Vajilla,Vaso de vidrio reciclado,Vaso soplado a mano con vidrio reciclado con detalles de burbujas naturales en el acabado.,280,prestashop/img/Imagenes/Vajilla/26.jpeg
127,Vajilla,Fuente de barro esmaltada,Fuente de barro hecha a mano decorada con esmalte vidriado y cocida a alta temperatura.,720,prestashop/img/Imagenes/Vajilla/27.jpeg
128,Vajilla,Cucharón de madera tallada,Cucharón de madera tallada a mano con mango decorado con grabados tradicionales.,340,prestashop/img/Imagenes/Vajilla/28.jpeg
129,Vajilla,Tazón de cerámica pintada,Tazón de cerámica hecho y pintado a mano con diseños de líneas geométricas.,390,prestashop/img/Imagenes/Vajilla/29.jpeg
130,Vajilla,Juego de platos de cerámica,Juego de platos de cerámica hechos a mano con acabados en esmalte mate de colores neutros.,670,prestashop/img/Imagenes/Vajilla/30.jpeg
131,Decoraciones,Lámpara de mimbre tejida,Lámpara de techo tejida a mano con mimbre natural con detalles decorativos en fibras de algodón.,900,prestashop/img/Imagenes/Decoraciones/31.jpeg
132,Decoraciones,Espejo con marco de bambú,Espejo redondo con marco hecho a mano de bambú pulido y tratado con aceites naturales.,750,prestashop/img/Imagenes/Decoraciones/32.jpeg
133,Decoraciones,Alfombra de lana tejida,Alfombra hecha a mano con lana de oveja tejida en telar tradicional.,990,prestashop/img/Imagenes/Decoraciones/33.jpeg
134,Decoraciones,Macetero de barro pintado,Macetero de barro cocido y pintado a mano con motivos florales en tonos vivos.,415,prestashop/img/Imagenes/Decoraciones/34.jpeg
135,Decoraciones,Tapiz de macramé,Tapiz decorativo de macramé hecho a mano con hilos de algodón natural.,660,prestashop/img/Imagenes/Decoraciones/35.jpeg
136,Decoraciones,Candelabro de hierro forjado,Candelabro de hierro forjado a mano con detalles curvados y base de madera reciclada.,540,prestashop/img/Imagenes/Decoraciones/36.jpeg
137,Decoraciones,Cuadro de madera tallada,Cuadro de madera tallada a mano con diseño floral en relieve.,820,prestashop/img/Imagenes/Decoraciones/37.jpeg
138,Decoraciones,Cojín bordado a mano,Cojín de algodón relleno bordado a mano con patrones geométricos.,580,prestashop/img/Imagenes/Decoraciones/38.jpeg
139,Decoraciones,Jarrón de cerámica rústica,Jarrón de cerámica hecho a mano con acabado rústico y esmalte craquelado.,395,prestashop/img/Imagenes/Decoraciones/39.jpeg
140,Decoraciones,Reloj de pared de madera,Reloj de pared hecho a mano de madera reciclada con detalles tallados y pintados.,870,prestashop/img/Imagenes/Decoraciones/40.jpeg
141,Destilados,Whisky artesanal,Whisky destilado en pequeños lotes añejado en barricas de roble durante 5 años.,950,prestashop/img/Imagenes/Destilados/41.jpeg
142,Destilados,Ginebra con botánicos locales,Ginebra artesanal destilada con botánicos locales como enebro y hierbas frescas.,780,prestashop/img/Imagenes/Destilados/42.jpeg
143,Destilados,Ron añejo,Ron artesanal añejado en barricas de roble durante 7 años con notas de vainilla y caramelo.,890,prestashop/img/Imagenes/Destilados/43.jpeg
144,Destilados,Vodka de papa,Vodka destilado de papas locales con un proceso de destilación triple para mayor pureza.,680,prestashop/img/Imagenes/Destilados/44.jpeg
145,Destilados,Mezcal de agave silvestre,Mezcal destilado de agave silvestre con notas ahumadas y afrutadas producido en pequeñas cantidades.,920,prestashop/img/Imagenes/Destilados/45.jpeg
146,Arte,Pintura en lienzo abstracto,Pintura al óleo sobre lienzo con motivos abstractos de colores vivos pintada a mano.,970,prestashop/img/Imagenes/Arte/46.jpeg
147,Arte,Escultura de barro,Escultura de barro cocido a mano con acabados naturales y textura rústica.,650,prestashop/img/Imagenes/Arte/47.jpeg
148,Arte,Grabado en madera,Grabado hecho a mano en madera con detalles de líneas geométricas talladas en relieve.,760,prestashop/img/Imagenes/Arte/48.jpeg
149,Arte,Cerámica escultórica,Obra escultórica en cerámica hecha a mano con formas abstractas y esmalte brillante.,850,prestashop/img/Imagenes/Arte/49.jpeg
150,Arte,Acuarela paisajística,Acuarela pintada a mano sobre papel de algodón con paisajes naturales y detalles sutiles.,510,prestashop/img/Imagenes/Arte/50.jpeg
